                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.8624,                 5.6408,                 4.3731,                      0,                      0,                      0,                      0,                 3.3709,                 5.9721,                 4.1722,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                  3.755,                 5.6468,                 4.3243,                      0,                      0,                      0,                      0,                 3.3705,                 5.9722,                 4.1731,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.6894,                 5.9357,                 4.3356,                      0,                      0,                      0,                      0,                 3.3705,                 5.9722,                 4.1731,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 3.0935,                 5.5321,                 4.2275,                      0,                      0,                      0,                      0,                 3.3701,                 5.9723,                  4.174,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 3.0578,                 5.4907,                 4.4347,                      0,                      0,                      0,                      0,                 3.3701,                 5.9723,                  4.174,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 3.1931,                 5.8226,                 4.2431,                      0,                      0,                      0,                      0,                 3.3699,                 5.9726,                 4.1749,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 3.1113,                 5.8578,                 4.3539,                      0,                      0,                      0,                      0,                 3.3699,                 5.9726,                 4.1749,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 3.0743,                 5.4275,                 4.2998,                      0,                      0,                      0,                      0,                 3.3697,                 5.9729,                 4.1759,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 3.2618,                 5.4806,                 4.2965,                      0,                      0,                      0,                      0,                 3.3697,                 5.9729,                 4.1759,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.7802,                 5.5017,                 4.3314,                      0,                      0,                      0,                      0,                 3.3696,                 5.9728,                 4.1773,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 3.1778,                 5.4885,                 4.2671,                      0,                      0,                      0,                      0,                 3.3696,                 5.9728,                 4.1773,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 3.2705,                 5.4181,                 4.2996,                      0,                      0,                      0,                      0,                 3.3695,                 5.9728,                 4.1783,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 3.2876,                 5.4215,                  4.304,                      0,                      0,                      0,                      0,                 3.3695,                 5.9728,                 4.1783,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.7842,                 5.4745,                 4.2821,                      0,                      0,                      0,                      0,                 3.3697,                 5.9727,                 4.1792,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.9542,                 5.3266,                  4.309,                      0,                      0,                      0,                      0,                 3.3697,                 5.9727,                 4.1792,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 3.2964,                 5.6096,                 4.2756,                      0,                      0,                      0,                      0,                 3.3699,                 5.9726,                   4.18,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 3.0278,                 5.6721,                 4.2826,                      0,                      0,                      0,                      0,                 3.3699,                 5.9726,                   4.18,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.8471,                 5.4781,                 4.3427,                      0,                      0,                      0,                      0,                 3.3699,                 5.9726,                   4.18,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 3.4533,                 5.5071,                  4.313,                      0,                      0,                      0,                      0,                 3.3703,                 5.9727,                 4.1813,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 2.6426,                 5.7245,                 4.3305,                      0,                      0,                      0,                      0,                 3.3703,                 5.9727,                 4.1813,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                  3.665,                 6.0421,                 4.2524,                      0,                      0,                      0,                      0,                 3.3703,                 5.9727,                 4.1813,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 3.0864,                  5.438,                 4.2732,                      0,                      0,                      0,                      0,                 3.3709,                 5.9731,                 4.1826,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 3.4845,                 5.3971,                 4.2596,                      0,                      0,                      0,                      0,                 3.3709,                 5.9731,                 4.1826,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 3.6282,                 5.4503,                 4.2842,                      0,                      0,                      0,                      0,                 3.3709,                 5.9731,                 4.1826,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 3.5478,                 5.6697,                 4.2437,                      0,                      0,                      0,                      0,                 3.3716,                  5.974,                 4.1841,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 2.9694,                 5.5479,                 4.3332,                      0,                      0,                      0,                      0,                 3.3716,                  5.974,                 4.1841,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 3.1854,                  5.469,                 4.3125,                      0,                      0,                      0,                      0,                 3.3716,                  5.974,                 4.1841,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 3.1579,                 5.4417,                 4.3865,                      0,                      0,                      0,                      0,                 3.3722,                 5.9747,                 4.1866,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 3.4189,                 5.5298,                 4.3237,                      0,                      0,                      0,                      0,                 3.3722,                 5.9747,                 4.1866,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                  3.397,                    5.4,                 4.3046,                      0,                      0,                      0,                      0,                 3.3722,                 5.9747,                 4.1866,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 3.4361,                 5.7788,                 4.2251,                      0,                      0,                      0,                      0,                 3.3726,                 5.9748,                 4.1875,             2.7575e-05,             2.7575e-05,             2.7575e-05
