                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4592,                0.88843,                 1.2349,                0.84763,                0.34107,                0.53301,                 0.4737,                0.24211,                 0.2646,                 0.4568,                0.39186,                0.20843,                 1.4667,                 1.1178,                 2.6987,                 1.2875,              0.0012405,              0.0012405,              0.0012405
                     25,                 1.4634,                0.86725,                 1.2563,                0.85777,                0.34407,                0.52868,                0.48127,                0.27051,                0.28368,                0.43292,                0.39242,                0.22271,                 1.4434,                 1.0693,                  2.151,                   1.39,              0.0012401,              0.0012401,              0.0012401
                     26,                 1.4574,                  1.013,                 1.2486,                0.87859,                0.34698,                0.50171,                0.45001,                0.25393,                0.26764,                0.42605,                0.36081,                0.17539,                 1.4294,                 1.0232,                 2.1111,                 1.4507,              0.0012397,              0.0012397,              0.0012397
                     27,                 1.5636,                0.96482,                 1.2884,                0.85248,                0.34698,                0.50171,                0.45001,                0.25393,                0.26764,                0.42605,                0.36081,                0.17539,                 1.4294,                 1.0232,                 2.1111,                 1.4507,              0.0012393,              0.0012393,              0.0012393
                     28,                 1.4276,                 0.8909,                 1.2805,                0.82061,                0.33231,                0.51611,                0.44405,                0.24594,                0.22459,                0.41311,                0.33924,                0.18222,                 1.4413,                 1.1598,                  2.247,                 1.4781,              0.0012389,              0.0012389,              0.0012389
                     29,                 1.3618,                0.94215,                 1.1973,                0.87986,                0.35347,                0.50869,                0.46793,                0.26298,                0.25466,                0.44018,                0.36844,                0.18925,                 1.2849,                 1.0328,                  2.501,                 1.2734,              0.0012385,              0.0012385,              0.0012385
                     30,                 1.2876,                 1.0616,                 1.1704,                0.87656,                0.35347,                0.50869,                0.46793,                0.26298,                0.25466,                0.44018,                0.36844,                0.18925,                 1.2849,                 1.0328,                  2.501,                 1.2734,               0.001238,               0.001238,               0.001238
                     31,                 1.3725,                0.80895,                 1.2108,                0.84122,                0.40372,                0.52677,                0.49532,                 0.2979,                0.31454,                 0.4568,                0.39209,                0.20015,                 1.1616,                 1.0078,                 2.3222,                 1.1724,              0.0012376,              0.0012376,              0.0012376
                     32,                 1.3454,                0.79614,                 1.1975,                0.86554,                0.40791,                0.54182,                0.51131,                0.27237,                0.33471,                0.46018,                0.40574,                 0.1977,                 1.1356,                 1.0071,                  2.255,                 1.1778,              0.0012372,              0.0012372,              0.0012372
                     33,                 1.3545,                0.84182,                  1.233,                 0.8445,                0.40791,                0.54182,                0.51131,                0.27237,                0.33471,                0.46018,                0.40574,                 0.1977,                 1.1356,                 1.0071,                  2.255,                 1.1778,              0.0012368,              0.0012368,              0.0012368
                     34,                 1.3982,                0.83612,                 1.1868,                0.80527,                0.39204,                0.50506,                0.51298,                0.28632,                0.33516,                0.44728,                0.42126,                0.19906,                 1.1983,                 1.0141,                 2.8104,                 1.2652,              0.0012364,              0.0012364,              0.0012364
                     35,                 1.2399,                0.83718,                 1.1398,                0.85102,                0.39204,                0.50506,                0.51298,                0.28632,                0.33516,                0.44728,                0.42126,                0.19906,                 1.1983,                 1.0141,                 2.8104,                 1.2652,               0.001236,               0.001236,               0.001236
                     36,                 1.2818,                0.96375,                 1.0886,                0.85069,                0.40515,                0.52017,                0.50201,                 0.2802,                 0.3085,                0.45115,                 0.4102,                0.19158,                 1.2032,                 1.0281,                 2.8961,                 1.2942,              0.0012356,              0.0012356,              0.0012356
                     37,                 1.3524,                0.90565,                 1.1995,                0.80679,                 0.3922,                0.53051,                0.50481,                0.30322,                0.27914,                 0.4356,                0.40983,                0.19949,                 1.2502,                 1.0221,                 2.6741,                 1.3315,              0.0012351,              0.0012351,              0.0012351
                     38,                 1.3697,                0.86215,                 1.2212,                0.83294,                 0.3922,                0.53051,                0.50481,                0.30322,                0.27914,                 0.4356,                0.40983,                0.19949,                 1.2502,                 1.0221,                 2.6741,                 1.3315,              0.0012347,              0.0012347,              0.0012347
                     39,                 1.2421,                0.90062,                 1.1487,                 0.8517,                0.44979,                0.54325,                0.50897,                0.31663,                0.25246,                0.44965,                0.37487,                 0.1976,                 1.2717,                 1.0246,                 2.5582,                 1.3285,              0.0012343,              0.0012343,              0.0012343
                     40,                 1.2661,                0.74786,                 1.1234,                0.83286,                0.40332,                0.54024,                0.50258,                0.27973,                0.31676,                0.44162,                0.38646,                  0.173,                 1.2946,                0.99269,                 2.4435,                 1.3195,              0.0012339,              0.0012339,              0.0012339
                     41,                 1.3284,                0.88591,                 1.1566,                0.86149,                0.40332,                0.54024,                0.50258,                0.27973,                0.31676,                0.44162,                0.38646,                  0.173,                 1.2946,                0.99269,                 2.4435,                 1.3195,              0.0012335,              0.0012335,              0.0012335
                     42,                 1.2924,                0.88161,                 1.1108,                0.84676,                0.48221,                0.51447,                0.51477,                0.26889,                0.36111,                0.43856,                 0.3961,                0.18347,                 1.3498,                0.95073,                 3.0842,                 1.3812,              0.0012331,              0.0012331,              0.0012331
                     43,                 1.2356,                0.83078,                 1.1184,                0.84653,                0.46211,                0.44941,                0.45133,                 0.2914,                  0.348,                0.42716,                0.41603,                0.19605,                 1.3204,                0.95758,                 2.7951,                 1.3722,              0.0012327,              0.0012327,              0.0012327
                     44,                 1.1942,                0.74031,                 1.0509,                0.84832,                0.46211,                0.44941,                0.45133,                 0.2914,                  0.348,                0.42716,                0.41603,                0.19605,                 1.3204,                0.95758,                 2.7951,                 1.3722,              0.0012323,              0.0012323,              0.0012323
                     45,                 1.3105,                0.90142,                 1.0796,                0.82024,                0.42858,                0.45534,                0.44381,                0.27604,                0.29877,                0.43475,                0.38784,                0.17761,                 1.4123,                 1.0075,                 3.1189,                 1.5505,              0.0012318,              0.0012318,              0.0012318
                     46,                 1.3404,                0.85759,                 1.0858,                 0.8498,                 0.4225,                 0.5206,                0.54741,                0.28725,                0.32098,                0.45314,                0.42667,                0.18135,                 1.3723,                0.96772,                 3.3019,                 1.5955,              0.0012314,              0.0012314,              0.0012314
                     47,                 1.3124,                0.84472,                 1.0674,                0.81298,                 0.4225,                 0.5206,                0.54741,                0.28725,                0.32098,                0.45314,                0.42667,                0.18135,                 1.3723,                0.96772,                 3.3019,                 1.5955,               0.001231,               0.001231,               0.001231
                     48,                 1.2855,                0.69641,                 1.0751,                0.84412,                0.43177,                0.53822,                0.53958,                0.33447,                0.32382,                0.46424,                0.42981,                0.22245,                 1.3127,                 1.0107,                 3.1365,                  1.507,              0.0012306,              0.0012306,              0.0012306
                     49,                 1.1688,                0.81972,                 1.0044,                0.86431,                0.50308,                0.50503,                0.54889,                0.31135,                0.35104,                0.44711,                 0.4221,                0.20142,                 1.2967,                 1.0144,                 2.4645,                 1.3607,              0.0012302,              0.0012302,              0.0012302
                     50,                 1.2531,                0.84367,                 1.0756,                0.80668,                0.50308,                0.50503,                0.54889,                0.31135,                0.35104,                0.44711,                 0.4221,                0.20142,                 1.2967,                 1.0144,                 2.4645,                 1.3607,              0.0012298,              0.0012298,              0.0012298
                     51,                 1.2197,                0.74509,                 1.0908,                0.83455,                0.46936,                 0.5011,                0.53816,                0.32589,                0.33957,                0.42396,                0.39621,                 0.2056,                 1.3714,                  1.321,                 2.3066,                 1.3295,              0.0012294,              0.0012294,              0.0012294
                     52,                 1.1536,                0.78537,                 0.9784,                0.82887,                0.50345,                 0.5169,                0.54808,                0.31342,                0.43402,                0.42591,                0.41279,                0.20631,                 1.3268,                 1.1656,                 1.7054,                 1.2673,               0.001229,               0.001229,               0.001229
                     53,                 1.2301,                0.86931,                 1.0034,                0.82069,                0.50345,                 0.5169,                0.54808,                0.31342,                0.43402,                0.42591,                0.41279,                0.20631,                 1.3268,                 1.1656,                 1.7054,                 1.2673,              0.0012286,              0.0012286,              0.0012286
                     54,                 1.1218,                0.74506,                 1.0464,                0.85512,                0.48677,                0.50522,                0.55755,                0.32321,                0.37661,                0.43604,                0.42938,                0.22882,                 1.3213,                 1.1483,                 1.7215,                 1.2417,              0.0012281,              0.0012281,              0.0012281
